,0,1,2,3,4,5,6,7,8
0,0,2,0,4,0,0,0,1,1
1,0,2,0,4,0,0,0,1,1
2,0,2,0,4,0,0,0,1,1
3,0,2,0,4,0,0,0,1,1
4,0,2,0,4,0,0,0,1,1
5,0,2,0,4,0,0,0,1,1
6,0,2,0,4,0,0,0,1,1
7,0,2,0,4,0,0,0,1,1
8,0,2,0,4,0,0,0,1,1
9,0,2,0,4,0,0,0,1,1
10,0,2,0,4,0,0,0,1,1
11,0,2,0,4,0,0,0,1,1
12,0,2,0,4,0,0,0,1,1
13,0,2,0,4,0,0,0,1,1
14,0,2,0,4,0,0,0,1,1
15,0,2,0,4,0,0,0,1,1
16,0,2,0,4,0,0,0,1,1
17,0,2,0,4,0,0,0,1,1
18,0,2,0,4,0,0,0,1,1
19,0,2,0,4,0,0,0,1,1
20,0,2,0,4,0,0,0,1,1
21,0,2,0,4,0,0,0,1,1
22,0,2,0,4,0,0,0,1,1
23,0,2,0,4,0,0,0,1,1
24,0,2,0,4,0,0,0,1,1
25,0,2,0,4,0,0,0,1,1
26,0,2,0,4,0,0,0,1,1
27,0,2,0,4,0,0,0,1,1
28,0,2,0,4,0,0,0,1,1
29,0,2,0,4,0,0,0,1,1
30,0,2,0,4,0,0,0,1,1
31,0,2,0,4,0,0,0,1,1
32,0,2,0,4,0,0,0,1,1
33,0,2,0,4,0,0,0,1,1
34,0,2,0,4,0,0,0,1,1
35,0,2,0,4,0,0,0,1,1
36,0,2,0,4,0,0,0,1,1
37,0,2,0,4,0,0,0,1,1
38,0,2,0,4,0,0,0,1,1
39,0,2,0,4,0,0,0,1,1
40,0,2,0,4,0,0,0,1,1
41,0,2,0,4,0,0,0,1,1
42,0,2,0,4,0,0,0,1,1
43,0,2,0,4,0,0,0,1,1
44,0,2,0,4,0,0,0,1,1
45,0,2,0,4,0,0,0,1,1
46,0,2,0,4,0,0,0,1,1
47,0,2,0,4,0,0,0,1,1
48,0,2,0,4,0,0,0,1,1
49,0,2,0,4,0,0,0,1,1
50,0,2,0,4,0,0,0,1,1
51,0,2,0,4,0,0,0,1,1
52,0,2,0,4,0,0,0,1,1
53,0,2,0,4,0,0,0,1,1
54,0,2,0,4,0,0,0,1,1
55,0,2,0,4,0,0,0,1,1
56,0,2,0,4,0,0,0,1,1
57,0,2,0,4,0,0,0,1,1
58,0,2,0,4,0,0,0,1,1
59,0,2,0,4,0,0,0,1,1
60,0,2,0,4,0,0,0,1,1
61,0,2,0,4,0,0,0,1,1
62,0,2,0,4,0,0,0,1,1
63,0,2,0,4,0,0,0,1,1
64,0,2,0,4,0,0,0,1,1
65,0,2,0,4,0,0,0,1,1
66,0,2,0,4,0,0,0,1,1
67,0,2,0,4,0,0,0,1,1
68,0,2,0,4,0,0,0,1,1
69,0,2,0,4,0,0,0,1,1
70,0,2,0,4,0,0,0,1,1
71,0,2,0,4,0,0,0,1,1
72,0,2,0,4,0,0,0,1,1
73,0,2,0,4,0,0,0,1,1
74,0,2,0,4,0,0,0,1,1
75,0,2,0,4,0,0,0,1,1
76,0,2,0,4,0,0,0,1,1
77,0,2,0,4,0,0,0,1,1
78,0,2,0,4,0,0,0,1,1
79,0,2,0,4,0,0,0,1,1
80,0,2,0,4,0,0,0,1,1
81,0,2,0,4,0,0,0,1,1
82,0,2,0,4,0,0,0,1,1
83,0,2,0,4,0,0,0,1,1
84,0,2,0,4,0,0,0,1,1
85,0,2,0,4,0,0,0,1,1
86,0,2,0,4,0,0,0,1,1
87,0,2,0,4,0,0,0,1,1
88,0,2,0,4,0,0,0,1,1
89,0,2,0,4,0,0,0,1,1
90,0,2,0,4,0,0,0,1,1
91,0,2,0,4,0,0,0,1,1
92,0,2,0,4,0,0,0,1,1
93,0,2,0,4,0,0,0,1,1
94,0,2,0,4,0,0,0,1,1
95,0,2,0,4,0,0,0,1,1
96,0,2,0,4,0,0,0,1,1
97,0,2,0,4,0,0,0,1,1
98,0,2,0,4,0,0,0,1,1
99,0,2,0,4,0,0,0,1,1
100,0,2,2,0,5,6,5,6,7
101,0,2,2,0,3,6,5,8,3
102,0,2,2,0,5,5,6,6,7
103,0,2,2,0,5,5,6,6,7
104,0,2,0,3,3,4,4,5,0
105,0,2,0,3,3,4,4,5,0
106,0,2,0,3,3,4,4,5,0
107,0,2,2,0,5,5,6,0,5
108,0,2,0,3,3,4,4,5,0
109,0,2,2,0,5,5,6,0,5
110,0,2,2,0,5,5,6,0,5
111,0,2,2,0,5,5,6,6,7
112,0,2,2,0,5,5,6,0,5
113,0,2,2,0,5,5,6,6,7
114,0,2,2,0,5,5,6,0,5
115,0,2,2,0,5,5,6,0,5
116,0,2,2,0,5,5,6,6,7
117,0,2,2,3,3,6,5,8,3
118,0,2,2,0,5,5,6,6,7
119,0,2,2,0,5,5,6,0,5
120,0,2,2,0,5,5,6,6,7
121,0,2,2,0,5,5,6,0,5
122,0,2,2,0,5,5,6,6,7
123,0,2,2,3,3,6,5,8,3
124,0,2,2,0,5,5,6,6,7
125,0,2,2,0,3,6,5,8,3
126,0,2,2,0,5,6,5,6,7
127,0,2,0,3,3,4,4,5,0
128,0,2,2,3,3,6,5,8,3
129,0,2,0,3,3,4,4,5,0
130,0,2,2,0,3,6,5,8,3
131,0,2,2,3,3,6,5,8,3
132,0,2,2,0,5,5,6,6,7
133,0,2,2,0,5,5,6,6,7
134,0,2,2,0,3,6,5,8,3
135,0,2,2,0,3,6,5,8,3
136,0,2,0,3,3,4,4,5,0
137,0,2,0,3,3,4,4,5,0
138,0,2,2,0,5,5,6,0,5
139,0,2,2,0,3,6,5,8,3
140,0,2,0,3,3,4,4,5,0
141,0,2,2,0,5,5,6,0,5
142,0,2,2,0,3,6,5,8,3
143,0,2,2,0,5,5,6,0,5
144,0,2,0,3,3,4,4,5,0
145,0,2,0,3,3,4,4,5,0
146,0,2,2,0,5,6,5,6,7
147,0,2,2,3,3,6,5,8,3
148,0,2,2,0,3,6,5,8,3
149,0,2,0,3,3,4,4,5,0
150,0,2,2,0,3,6,5,8,3
151,0,2,2,0,5,6,5,8,3
152,0,2,0,3,3,4,4,5,0
153,0,2,2,0,5,6,5,8,3
154,0,2,2,0,5,5,6,0,5
155,0,2,2,0,3,6,5,8,3
156,0,2,2,0,5,5,6,6,7
157,0,2,2,0,5,5,6,6,7
158,0,2,0,3,3,4,4,5,0
159,0,2,2,3,3,6,5,8,3
160,0,2,2,0,5,5,6,0,5
161,0,2,2,0,5,5,6,6,7
162,0,2,0,3,3,4,4,5,0
163,0,2,0,3,3,4,4,5,0
164,0,2,2,0,5,5,6,6,7
165,0,2,2,0,3,6,5,8,3
166,0,2,2,0,5,6,5,8,3
167,0,2,2,0,5,5,6,0,5
168,0,2,0,3,3,4,4,5,0
169,0,2,0,3,3,4,4,5,0
170,0,2,2,3,3,6,5,8,3
171,0,2,2,0,3,6,5,8,3
172,0,2,2,3,3,6,5,8,3
173,0,2,2,0,5,6,5,6,7
174,0,2,2,3,3,6,5,8,3
175,0,2,2,0,5,5,6,6,7
176,0,2,2,0,3,6,5,8,3
177,0,2,2,0,5,5,6,0,5
178,0,2,2,0,5,5,6,6,7
179,0,2,2,0,5,5,6,0,5
180,0,2,0,3,3,4,4,5,0
181,0,2,2,0,5,5,6,0,5
182,0,2,0,3,3,4,4,5,0
183,0,2,2,3,3,6,5,8,3
184,0,2,2,0,5,5,6,6,7
185,0,2,0,3,3,4,4,5,0
186,0,2,0,3,3,4,4,5,0
187,0,2,2,3,3,6,5,8,3
188,0,2,2,0,5,5,6,0,5
189,0,2,0,3,3,4,4,5,0
190,0,2,2,0,3,6,5,8,3
191,0,2,2,0,5,5,6,6,7
192,0,2,2,3,3,6,5,8,3
193,0,2,0,3,3,4,4,5,0
194,0,2,2,0,5,5,6,0,5
195,0,2,2,0,5,5,6,0,5
196,0,2,0,3,3,4,4,5,0
197,0,2,2,0,5,5,6,6,7
198,0,2,2,0,5,5,6,0,5
199,0,2,2,0,5,6,5,8,3
200,1,0,1,2,1,1,7,7,9
201,1,0,1,2,1,1,7,7,9
202,1,0,1,2,1,1,1,3,4
203,1,0,1,2,1,1,1,3,4
204,1,0,1,2,1,1,1,3,9
205,1,0,1,2,1,1,7,7,9
206,1,0,1,2,1,1,1,3,4
207,1,0,1,2,1,1,1,3,4
208,1,0,1,2,1,1,1,3,4
209,1,0,1,2,1,1,1,3,4
210,1,0,1,2,1,1,7,7,9
211,1,0,1,2,1,1,1,3,9
212,1,0,1,2,1,1,1,3,4
213,1,0,1,2,1,1,7,7,9
214,1,0,1,2,1,1,1,3,4
215,1,0,1,2,1,1,1,3,4
216,1,0,1,2,1,1,7,7,9
217,1,0,1,2,1,1,1,3,4
218,1,0,1,2,1,1,7,7,9
219,1,0,1,2,1,1,1,3,4
220,1,0,1,2,1,1,1,3,4
221,1,0,1,2,1,1,7,7,9
222,1,0,1,2,1,1,1,3,4
223,1,0,1,2,1,1,7,7,9
224,1,0,1,2,1,1,1,3,4
225,1,0,1,2,1,1,1,3,4
226,1,0,1,2,1,1,7,7,9
227,1,0,1,2,1,1,1,3,4
228,1,0,1,2,1,1,1,3,4
229,1,0,1,2,1,1,1,3,4
230,1,0,1,2,1,1,1,3,4
231,1,0,1,2,1,1,1,3,4
232,1,0,1,2,1,1,1,3,4
233,1,0,1,2,1,1,1,3,4
234,1,0,1,2,1,1,1,3,9
235,1,0,1,2,1,1,7,7,9
236,1,0,1,2,1,1,1,3,4
237,1,0,1,2,1,1,1,3,4
238,1,0,1,2,1,1,1,3,4
239,1,0,1,2,1,1,1,3,4
240,1,0,1,2,1,1,1,3,4
241,1,0,1,2,1,1,7,7,9
242,1,0,1,2,1,1,1,3,4
243,1,0,1,2,1,1,1,3,4
244,1,0,1,2,1,1,1,3,4
245,1,0,1,2,1,1,1,3,4
246,1,0,1,2,1,1,1,3,9
247,1,0,1,2,1,1,7,3,9
248,1,0,1,2,1,1,1,3,4
